Từng cặp một	一一对
Minikin.	米尼金
Vịnh Micheon	米川湾
Khoảng một mét	米左右
Mihir	米希尔
Miliov	米廖夫
Vùng trung du	米德兰
Midler.	米德勒
Mead Ha	米德哈
Fort Meade	米德堡
Middle	米德尔
Hồ Mead	米德湖
Quận Miths	米思县
Minga	米恩加
Miento	米恩托
Miên là	米恩是
Miên cho biết	米恩说
Migom.	米戈姆
Migos	米戈斯
Mizarin	米扎林
Mitotan	米托坦
Mitov	米托夫
Mitos.	米托斯
Mitolo	米托洛
Mihutz	米护茨
Mirabo	米拉波
Mitili.	米提利
Mies của	米斯之
Hương vị gạo tẻ	米曲味
Miguel.	米格尔
Tỉnh Missan	米桑省
Misandai	米桑黛
Misengar	米森加
Misenden	米森登
Misen thủ vai	米森饰
Michelle	米歇尔
Đường Mie	米氏线
Meehan là	米汉是
Meehan cho biết	米汉说
Misartan	米沙坦
Visayas	米沙鄢
Miteo	米泰奥
Yonezawa đã có mặt tại	米泽在
Mizel	米泽尔
Thành phố Mizawa	米泽市
Mizes	米泽斯
Mizena.	米泽纳
Ông Yonezawa cho biết	米泽说
Milovan	米洛万
Milo cho	米洛为
Milo ở	米洛于
Milos	米洛什
Milo thì	米洛则
Milo hướng tới	米洛向
Milom	米洛姆
Milo đúng.	米洛对
Miloon.	米洛恩
Milo muốn	米洛想
Milola	米洛拉
Milos	米洛斯
Milo là	米洛是
Miloshe	米洛舍
Thử Milo	米洛试
Milo cho biết	米洛说
Miloche.	米洛谢
Mikhail	米海尔
Minev	米涅夫
Mitra.	米特拉
Mitre	米特雷
Mimass.	米玛斯
Minauer	米瑙尔
Miriam.	米瑞姆
Miselli.	米瑟利
Miserdon.	米瑟登
Missima.	米瑟马
Miwaki	米瓦基
Miguel	米盖尔
Michelon	米矶仑
Miford	米福德
Mikoli.	米科利
Mimilly.	米米利
Mimian.	米米安
Dầu cám gạo	米糠油
Misore.	米索雷
Minem	米纳姆
Minar	米纳尔
Minas	米纳斯
Minius.	米纽斯
Mischaud	米绍德
Chuột Mickey	米老鼠
Ðảng bộ Miên	米耶党
Mie hướng về phía	米耶向
Miev	米耶夫
Miel	米耶尔
Hồ Miên	米耶湖
Miet	米耶特
Miesha.	米耶莎
Misuri	米苏里
Millie ở	米莉于
Miria.	米莉亚
Millie nổi tiếng với	米莉以
Millie mang theo	米莉带
Khi Millie	米莉时
Millie nói	米莉道
Misar	米萨尔
Misab	米萨布
Missad	米萨德
Tỉnh Misa	米萨省
Misano	米萨诺
Mitiga	米蒂加
Mitich	米蒂奇
Mitio	米蒂奥
Phong cách Miti	米蒂式
MỸ THIÊN	米蒂恩
Mitila.	米蒂拉
Mitty là	米蒂是
Mitivo.	米蒂沃
Mitidi.	米蒂迪
Mino cho	米诺为
Điểm số Mino	米诺分
Minotze	米诺则
Minoli	米诺利
Minov	米诺夫
Mino, nghe đây.	米诺接
Minos.	米诺斯
Thời điểm Mino	米诺时
Mino có	米诺有
Minoso	米诺索
Minofen	米诺芬
Minotti	米诺蒂
Minophenol	米诺酚
Minosodium	米诺钠
Minotaur	米诺陶
Midas.	米达斯
Michael.	米迦勒
Michaela.	米迦拉
Midia.	米迪亚
Midis.	米迪斯
Trạm Midi	米迪站
Miria	米里亚
Mirian	米里扬
Mirisch	米里施
Mission	米锡昂
Mikoyan	米高扬
MGM	米高梅
Miruna	米鲁娜
Mirus.	米鲁斯
Màu be	米黄色
Đánh giá trong lớp	类中判
Lớp trung áp	类中压
Các loại sách	类书籍
Giống moiré	类云纹
Các sản phẩm thuộc loại	类产品
Những con vượn lớn	类人猿
Giống như Ising	类伊辛
Sự tương đồng	类似性
Tương tự	类似物
Các loài động vật giống	类动物
Hệ thực vật giống nhau	类区系
Giống như carbene	类卡宾
Lớp học và nhóm	类和组
Hạng mục và công việc	类和职
Lớp học và góc	类和角
Thylakoid	类囊体
Steroid	类固醇
Sách lớp	类图书
Hệ thống đất đai	类地系
Đánh máy	类型化
Khu vực loại hình	类型区
Sơ đồ các loại	类型图
Phân loại học	类型学
Đa lựa chọn lớp học	类多选
Tổng phụ danh mục	类小计
Được liệt kê trong danh mục	类所列
Lớp học chứa đựng	类所含
Phương pháp loại suy	类推法
Chuẩn tinh	类星体
Vùng giống tinh thể	类晶区
Tạp chí hạng	类杂志
Giao tiếp giống như	类来文
Độc tố	类毒素
Tương tự	类比性
Các chất giống nhau	类物质
Các loại vật tư	类物资
Giống virus	类病毒
Heparin	类肝素
Cổ phiếu loại	类股票
Cơ thể giống như màu sắc	类色体
Các chương trình lớp	类节目
Các loại thuốc như	类药物
Vi khuẩn	类菌体
Giống như Google	类谷歌
Lớp học chậm nộp	类迟交
Bệnh thấp khớp	类风湿
Các mặt hàng thực phẩm như	类食品
Lớp xương	类骨层
Lớp cao cấp	类高次
Flavonoid	类黄酮
Nhóm cổ động viên	粉丝团
Mạng lưới cổ động viên	粉丝网
Bột được ép thành	粉压成
Bột và bột	粉和粉
Phương pháp phun bột	粉喷法
Kem nền dạng lỏng	粉底液
Kem nền	粉底霜
Dạng bột	粉末状
Tro bay	粉煤灰
Tấm chắn bóng hồng	粉球盾
Màu trắng hồng	粉白色
Máy nghiền	粉碎器
Sự phân mảnh	粉碎性
Máy nghiền	粉碎机
Tro phấn	粉笔灰
Tranh phấn	粉笔画
Màu hồng	粉红色
Thịt heo hấp	粉蒸肉
Hạt tetrahydrogen	粒四氢
Chùm hạt	粒子束
Dòng chảy hạt	粒子流
Hạt được cho là	粒据信
Chứng nhận hạt	粒核证
Bạch cầu hạt	粒细胞
Bệnh thối hạt	粒腐病
Trên dây dày	粗丝上
Gia công thô	粗加工
Vùng thô	粗化区
Tỷ lệ thô	粗化率
Chân tay tăng dày	粗升肢
Polyphenol thô	粗多酚
Rồng đầu dày	粗头龙
Andesite thô	粗安岩
Định vị thô sơ	粗定位
Bất cẩn	粗心地
Chiết xuất thô	粗提物
Loại hình mở rộng	粗放型
Mở rộng	粗放式
Vùng hạt thô	粗晶区
Lớp hạt thô	粗晶层
Nhiệt hạt thô	粗晶热
Thép hạt thô	粗晶钢
Số lượng gốc dày	粗根数
Bộ lọc thô	粗滤器
Một cách sơ sài.	粗略地
Hạt thô	粗粒化
Đất hạt thô	粗粒土
Đá hạt thô	粗粒岩
Hạt thô	粗粒度
Sự thô ráp	粗糙度
Tập hợp thô sơ	粗糙集
Sợi thô	粗纤维
Khung lưu động	粗纱机
Giai đoạn dày đặc của đường nét	粗线期
Những đường nét dày	粗线条
Chất béo thô	粗脂肪
Tweed	粗花呢
Dung dịch enzyme thô	粗酶液
Đối với thép thô	粗钢用
Dưới độ dày	粗隆下
Khu vực quảng trường	粗隆区
Các đoạn có độ dày	粗隆段
Phần thô	粗隆部
Giữa những đường hầm	粗隆间
Trachyte	粗面岩
Nhóm thức ăn thô	粗食组
Thức ăn thô	粗饲料
Vải bố	粗麻布
Không dính được.	粘不上
Dính chặt vào nhau.	粘乎乎
Ceratocystis	粘冠藻
Cummin dính	粘卡明
Chất kết dính	粘合剂
Sự kết dính	粘合力
Lớp lót kết dính	粘合衬
Chất kết dính	粘固剂
Mỏ đất sét	粘土矿
Gạch đất sét nung	粘土砖
Mucopolysaccharide	粘多糖
Máy đo độ nhớt	粘度计
Độ đàn hồi	粘弹性
Sự kết dính	粘性力
Chất kết dính	粘接剂
Tỷ lệ dính là	粘比为
Chất nhầy	粘液性
Độ nhớt	粘滞性
Máy dán tấm	粘片机
Tính nhất quán	粘稠度
Nhớp nhớp và nhão nhoét	粘糊糊
Chất kết dính	粘结剂
Lực lượng liên kết	粘结力
Sự kết dính	粘结性
Vicky dính	粘维姬
Sự gắn kết	粘聚力
Sự kết dính	粘聚性
Những đường gân dính	粘肋排
Viêm niêm mạc	粘膜炎
Vạt niêm mạc	粘膜瓣
Người Sogdian	粟特人
Loại kê	粟粒型
Bóng kê	粟粒影
Kê kê	粟粒性
Hạt kê	粟粒样
Hạt kê	粟粒状
Phát ban kê	粟粒疹
Quảng Đông, Hồng Kông và Ma Cao	粤港澳
Nhà hàng Quảng Đông	粤菜馆
Bài hát Quảng Đông	粤语歌
Fuatoporphyrin	粪卟啉
Số lượng phân	粪块数
Mạng Lương Tín	粮信网
CFS	粮安会
Cục An toàn thực phẩm	粮安处
CFS	粮安委
Lipid thực phẩm	粮脂质
Cơ quan quản lý thực phẩm	粮规署
Cục Lương thực	粮食局
Bộ Lương thực và Thực phẩm	粮食部
Propiridine tinh	精丙啶
Độ chính xác	精准度
Hoàn thiện	精加工
Tinh chất	精华液
Số lá tinh	精叶数
Tinh và muối	精和盐
Tinh và đường	精和糖
Chất lượng cao	精品化
Triển lãm cửa hàng	精品展
Cửa hàng	精品店
Lớp học tốt	精品课
Ngân hàng tinh trùng	精子库
Chính xác hóa	精密化
Độ chính xác	精密度
Độ chính xác	精密性
Ống bán lá kim	精小管
Độ chính xác cao	精度高
Proxazole	精恶唑
Máy chải kỹ	精梳机
Bông chải kỹ	精梳棉
Tinh thần và tinh thần	精气神
Arginine	精氨酸
Lượng tinh dịch	精液量
Nhà máy lọc dầu	精炼厂
Dầu tinh luyện	精炼油
Lò luyện	精炼炉
Tinh chất mướp	精瓜素
Sự chính xác	精确化
Sự chính xác	精确度
Độ chính xác	精确性
Sức mạnh tinh thần	精神力
Tâm linh	精神性
Bệnh tâm thần	精神病
Khoa Tâm thần	精神科
Thuyết tâm linh	精神论
Phiên bản sắp xếp hợp lý	精简版
Khoa học tính toán	精算学
Chuyên gia tính toán	精算师
Dây chuyền tinh	精管柱
Tinh tế hóa	精细化
Giải thưởng dành cho giới thượng lưu	精英奖
Giải đấu cổ điển	精英赛
Sách bìa cứng	精装书
Bìa cứng	精装本
Phiên bản bìa cứng	精装版
Các sản phẩm chọn lọc	精选品
Tuyển tập	精选集
Thành thạo trong	精通于
Liên kết tốt	精键合
Thức ăn tinh	精饲料
Tháp chưng cất	精馏塔
Dán và kiềm	糊和碱
Đánh lừa mọi người	糊弄人
Người dân hoang mang	糊涂人
Lộn xộn	糊涂账
Hỗn hợp nhão	糊状物
Lớp aleurone	糊粉层
Cửa hàng bánh ngọt	糕点店
Cửa hàng bánh ngọt	糕饼店
Đường không nên	糖不应
Năng suất đường	糖产率
Glucoamylase	糖化酶
Đường Waffle	糖华夫
Đường và chất béo	糖和脂
Glycosyl hóa	糖基化
Quá nhiều đường	糖太多
Bệnh tiểu đường	糖尿病
Glucogenesis	糖异生
Sản lượng đường	糖得率
Trạm rừng đường	糖林站
Nhà máy bánh kẹo	糖果厂
Cửa hàng bánh kẹo	糖果店
Hộp bánh kẹo	糖果盒
Phương pháp đường nhiệt	糖热法
Sản xuất đường	糖生成
Người nghiện đường	糖瘾者
Glucocorticoid	糖皮质
Natri saccharin	糖精钠
Dung nạp glucose	糖耐量
Glycoadenosine	糖腺苷
Glycosidase	糖苷酶
Liên kết glycosidic	糖苷键
Cây kẹo kéo	糖葫芦
Glycoprotein	糖蛋白
Đường phân	糖酵解
Cá chua ngọt	糖醋鱼
Axit uronic	糖醛酸
Bệnh pellagra	糙皮病
Cơm gạo lứt	糙米饭
Bảo quản lạnh chyme	糜冻存
Mylonit	糜棱岩
Ăn mòn	糜烂性
Thật kinh khủng.	糟透了
Ngô nếp	糯玉米
Bột gạo nếp	糯米粉
Bánh gạo nếp	糯米糕
Gạo nếp gạo tẻ	糯米饭
Không buộc được.	系不上
Trung bình, Sở	系中均
Giám đốc Sở	系主任
Loạt phim truyền hình	系列剧
Tuần tự hóa	系列化
Số sê-ri	系列号
Hàng loạt	系列性
Bộ sưu tập	系列片
Loạt trận	系列赛
Hệ thống chất lỏng kép	系双液
Sở và người dân	系和人
Sở và Séc	系和捷
Sở và điện	系和电
được lưu trữ trong	系存于
Cục Phát triển công nghiệp	系工发
Sở hiện nay	系当期
Bộ chưa sử dụng	系未用
Sở gồm một	系由一
Sở được thực hiện bởi	系由其
Sở chịu sự chi phối của	系由受
Sở được thành lập bởi các	系由有
Sở do Bến	系由本
Sở được điều hành bởi	系由该
Sở được thực hiện bởi các đơn vị không	系由非
Hệ thống hóa	系统化
Một cách có hệ thống	系统地
Hệ thống học	系统学
Sự quan tâm của hệ thống đối với	系统对
Hệ thống	系统性
Đĩa hệ thống	系统盘
Lý thuyết hệ thống	系统论
Bộ phận Hệ thống	系统部
Hệ thống được trang bị	系统配
Vùng trung bì	系膜区
Dòng chảy trung bì	系膜流
Giữa trung bì	系膜间
Phương pháp phả hệ	系谱法
Kim loại hàn	系钎料
Hệ thống sắt điện	系铁电
Thắt dây giày	系鞋带
Nguyên tố dinatri	素二钠
Năng suất nguyên tố	素产率
Suk An	素克安
Tiền chất nguyên tố	素前体
Sukhothai	素可泰
Tố Hữu và thúc đẩy	素和促
Tố Hữu và Ấn Độ	素和印
Nguyên tố và khác biệt	素和异
Nguyên tố và dây chuyền	素和链
Soài Phu	素埃富
Xử lý nguyên tố	素处理
Su Ji Yu	素季于
Su Kyi sẽ	素季会
Chuyến thăm của Su Ji	素季访
Su Jitong	素季通
Supavi	素帕威
Suraj	素拉杰
Surayuk	素拉育
Surapong	素拉蓬
Bản phác thảo	素描画
Chưa từng thấy.	素未见
Tỉnh Surin	素林府
Tỉnh Surin	素林省
Hiệu giá nguyên tố	素滴度
Steroid nguyên tố	素甾体
Các aglycone nguyên tố	素苷元
Surya	素里亚
Suafa	素阿法
Chùm ảnh không trang điểm	素颜照
Tố Yến tự	素颜自
Quán cơm chay	素食店
Người ăn chay	素食者
Frangipani	素馨花
Sovanna	索万纳
Sochuk	索丘克
Sow đã tạo điều kiện thuận lợi cho	索乌为
Sow là	索乌是
Sodette.	索代特
Soik	索伊克
Soylu	索伊卢
Soi đã có những đóng góp quan trọng trong	索伊在
Soini	索伊尼
Cừu Suối	索伊羊
Soi cho biết	索伊说
Suối Sìn	索伊辛
Thorval.	索伐尔
Sorentin	索伦丁
Sorenz	索伦兹
Sorenche	索伦切
Sorenta.	索伦塔
Sorrento	索伦托
Sorens.	索伦斯
Soren là	索伦是
Sorenson	索伦森
Sorenti	索伦蒂
Soren cho biết	索伦说
Sauberland	索伯兰
Sobera	索伯拉
Saubers.	索伯斯
Sauber là	索伯是
Sauber cho biết	索伯说
Sok nổi tiếng với	索克以
Sok là	索克是
Sokner.	索克纳
Ông Sok cho biết	索克说
Thị trấn Sok	索克镇
Solanki	索兰基
Solanchi	索兰奇
Sốt Solan	索兰热
Thị xã Sơn Lan	索兰镇
Soneca	索内卡
Souness.	索内斯
Cổng Sonet	索内门
Solière	索利埃
Solita	索利塔
Solich	索利奇
Nhà Solly.	索利家
Solito	索利托
Solis.	索利斯
Soliman	索利曼
Solly có	索利有
Làng Soli	索利村
Solima.	索利玛
Soliai.	索利艾
Solino.	索利诺
Sobolon	索勃龙
Soler phải	索勒右
Soller	索勒州
Cảng Soler	索勒港
Vịnh Soler	索勒湾
Soller cho biết	索勒说
Soler trang trí	索勒饰
Sonan Jia	索南嘉
Soboren	索博伦
Sobor	索博尔
Soboni	索博尼
Soboba	索博巴
Sobot	索博特
Huyện Sơn Ca	索卡区
Solus.	索卢斯
Soham.	索厄姆
Quyền yêu cầu bồi thường	索取权
Yêu cầu và ủy quyền	索受委
Suối Hoa Tháp	索和塔
Sohaj	索哈杰
Soyinka	索因卡
Sotud	索图德
Hạt Sota	索塔县
Thành phố Sota	索塔市
Sota đã	索塔有
Vịnh Sota	索塔湾
Sosedo	索塞多
Giấy Sosai	索塞纸
Soseru	索塞鲁
Đảo Sodo	索多岛
Soff đã có mặt tại	索夫于
Sovk	索夫克
Sovka	索夫卡
Sau khi Soff	索夫后
Thành phố Sov	索夫市
Soffs.	索夫斯
Ông Soff cho biết	索夫称
Sovron	索夫龙
Sochino	索奇诺
Sonia.	索妮亚
Người Som	索姆人
Som.	索姆号
Somin	索姆因
Nhà nước Somme	索姆州
Thành phố Somme	索姆市
Soms	索姆斯
Somburn.	索姆本
Somson.	索姆森
Sông Somme	索姆河
Hồ Som	索姆湖
Somsa	索姆萨
Som cho biết	索姆说
Somda	索姆达
Sonink	索宁克
Thành phố Thọ Ninh	索宁市
Sol Ren	索尔仁
Salk.	索尔克
Soltan	索尔坦
Solta.	索尔塔
Solvay.	索尔威
Sawls	索尔斯
Salt	索尔特
Solna	索尔纳
Solvay	索尔维
Solti.	索尔蒂
Solda.	索尔达
Soyut	索尤特
Sonia	索尼亚
Sonic.	索尼克
Saunière	索尼埃
Sonia.	索尼娅
Sobart	索巴特
Sobrun	索布伦
Sobuki	索布基
Sobhi	索布希
Sobza	索布扎
Người dân tộc Sobou	索布族
Sobko	索布科
Tiếng Sob	索布语
Ông Sohi cho biết	索希说
Sopanin	索帕宁
Sopa, chờ đã.	索帕待
Sopano	索帕诺
Soganda	索干达
Sofrey.	索弗里
Căng dây cáp	索张力
Tháp Sode	索德塔
Sodere	索德雷
Soderma	索德马
Thorn nổi tiếng với	索恩以
Thorn đã viết	索恩写
Thornley	索恩利
Thorn bị bắt vì	索恩因
Pháo đài Thorne	索恩堡
Thorn đã nói đúng.	索恩对
Đảo Thorn	索恩岛
Thành phố Thorn	索恩市
Thorn, nghe đây.	索恩接
Thorn là	索恩是
Thorn có	索恩有
Sông Thốt Nốt	索恩河
Thorn kể từ khi	索恩自
Thorn cho biết	索恩说
Sogono	索戈诺
Sozani	索扎尼
Sozada	索扎达
Soto nổi tiếng với	索托以
Sotoy	索托伊
Sotoni	索托尼
Sotob	索托布
Soto	索托氏
Soto sử dụng	索托用
Sotoso	索托索
Soto	索托语
Sotolon	索托隆
Sola đang ở trong	索拉在
Solas	索拉斯
Sola là	索拉是
Bản làng Sơn La	索拉村
Sorahan	索拉汉
Hồ bơi Sơn La	索拉池
Solana	索拉纳
Soralai	索拉莱
Sola cho biết	索拉说
Solano	索拉诺
Sola Chi	索拉赤
Solari	索拉里
Soraya.	索拉雅
Solafil	索拉非
Somoza	索摩查
Sovant.	索文特
Sos đã tạo điều kiện thuận lợi cho	索斯为
Southland	索斯兰
Sosley.	索斯利
Hạt Sos	索斯县
Sosky.	索斯基
Soss là	索斯是
Sotheby.	索斯比
Sosban	索斯班
Sosgay.	索斯盖
Soss cho biết	索斯称
Soss cho biết	索斯说
Sostone.	索斯通
Sosway.	索斯韦
Thorpe cho	索普为
Thorpe xuất hiện tại	索普于
Sopwook	索普伍
Thorpe sẽ	索普会
Hạt Sốp Cộp	索普县
Thorpe hướng tới	索普向
Thorpin	索普因
Soputan	索普坦
Giải thưởng Thorpe	索普奖
Thopam	索普姆
Thope đã làm được điều đó.	索普对
Thành phố Sốp Cộp	索普市
Thorpe.	索普恩
Sopps	索普斯
Khi Thorpe	索普时
Thorpe là	索普是
Thorpe đã	索普有
Sopper.	索普珀
Giai đoạn Thorpe	索普相
Sopko	索普科
Thorpe cho biết	索普说
Đội Thorpe	索普队
Solangchi.	索朗奇
Sommerfeld	索末菲
Sojena	索杰纳
Solingen	索林根
Thorrington	索林顿
Soglee	索格列
Soghetti	索格蒂
Sosanya.	索桑娅
Somez	索梅兹
Sommel	索梅尔
Thorsend	索森德
Sobibo.	索比博
Sobiburg.	索比堡
Sobich	索比希
Sobien.	索比恩
Sobiyo	索比约
Sorbite	索氏体
Soxhlet bí mật	索氏密
Thorwald.	索沃德
Sovos.	索沃斯
Sosaru	索沙鲁
Soboba	索波巴
Sopot.	索波特
Sozern.	索泽恩
Solow đã có những đóng góp quan trọng cho	索洛为
Solone.	索洛内
Soloin	索洛因
Solov	索洛夫
Soloway.	索洛威
Solow đã phải đối mặt với	索洛对
Thành phố Solo	索洛市
Solora	索洛拉
Solo là	索洛是
Solop	索洛普
Solofa.	索洛法
Solomi.	索洛米
Solona	索洛纳
Soloway.	索洛维
Solo cho biết	索洛说
Solomen.	索洛门
Solow đóng vai	索洛饰
Sozikin	索济金
Thorrington	索灵顿
Sotland	索特兰
Sottle	索特尔
Đảo Sot	索特岛
Somaya.	索玛亚
Somar	索玛尔
Soper ở	索珀于
Đường Sopper	索珀路
Sosana.	索珊娜
Sori cho biết	索瑞说
Sotherland	索瑟兰
Sotham.	索瑟姆
Sussel.	索瑟尔
Sotherton.	索瑟顿
Sova đã tạo điều kiện thuận lợi cho	索瓦为
Người Sova	索瓦人
Sovagi	索瓦吉
Sovac	索瓦奇
Sovagh	索瓦格
Sowana	索瓦纳
Sovada	索瓦达
Sopita	索皮塔
Sopis.	索皮斯
Sopit	索皮特
Soffolk	索福克
Sofob	索福布
Sofford.	索福德
Sophus.	索福思
Sokoto	索科托
Sokolo	索科洛
Sokot	索科特
Somina.	索米娜
Phương pháp buộc	索系法
Soyot	索约特
Sonali	索纳利
Sonata	索纳塔
Sonam	索纳姆
Sonar.	索纳尔
Sonas.	索纳斯
Saussure	索绪尔
Sovini	索维尼
Solo đã có những đóng góp quan trọng cho	索罗为
Soloa	索罗亚
Solo chuyển từ	索罗从
Soroca	索罗卡
Sau khi Solo	索罗后
Soroin	索罗因
Solo ở	索罗在
Sorrom	索罗姆
Solo đã nói đúng.	索罗对
Solo sẽ	索罗将
Solo Dai	索罗戴
Soloso	索罗所
Soros.	索罗斯
Khi Solo	索罗时
Solo là	索罗是
Solo đã từng	索罗曾
Solo có	索罗有
Cúp Solo	索罗杯
Soloban	索罗班
Solo sử dụng	索罗用
Solo cho biết	索罗称
Solodi	索罗第
Solomi.	索罗米
Solo cho	索罗给
Solo và	索罗而
Solo Neng	索罗能
Solomo	索罗莫
Solo cho biết	索罗说
Sorokin	索罗金
Solomon.	索罗门
Solorton.	索罗顿
Solo thủ vai	索罗饰
Somedrow	索美卓
Sawyer ở	索耶于
Sawyer đang ở trong	索耶在
Sawyer, đúng rồi.	索耶对
Thành phố Sawyer	索耶市
Sawyers	索耶斯
Sawyer là	索耶是
Sawyer cho biết	索耶说
Sosua	索苏亚
Somore.	索莫尔
Somoni.	索莫尼
Somoza	索莫扎
Somos.	索莫斯
Somocha	索莫查
Somog	索莫格
Solez	索莱兹
Solein	索莱因
Solero	索莱罗
Soledad	索莱达
Sophia.	索菲亚
Sophie sẽ	索菲会
Sophie thì sao?	索菲则
Sophiha.	索菲哈
Sophia.	索菲娅
Sophia.	索菲安
Sophie.	索菲恩
Sofitel.	索菲特
Hoa Sophie	索菲花
Sophie cho biết	索菲说
Sosa trong	索萨于
Sosaya	索萨亚
Sosa nổi tiếng với	索萨以
Sosa sẽ	索萨会
Sau khi Sosa	索萨后
Sussard	索萨德
Khi Sosa	索萨时
Sosa là	索萨是
Sosaman.	索萨曼
Sosa cho biết	索萨说
Sotia	索蒂亚
Sotilo	索蒂洛
Sotillo	索蒂略
Sotiro	索蒂罗
Sotiri	索蒂里
Somoncu	索蒙库
Sosina.	索西娜
Sosino	索西诺
Sonob	索诺布
Sonora	索诺拉
Sonoma	索诺玛
Sonoko	索诺科
Sonoma	索诺马
Sobeki	索贝基
Sobero	索贝罗
Sobeh	索贝赫
Sofel.	索费尔
Người yêu cầu bồi thường	索赔人
Quyền yêu cầu bồi thường	索赔权
Trường hợp yêu cầu bồi thường	索赔案
Sohni	索赫尼
Sochner	索赫纳
Sosin cho biết	索辛说
Sodaga	索达加
Sodano	索达诺
Sodibby.	索迪比
Sodino	索迪诺
Dây cáp	索部线
Soria	索里亚
Soliman.	索里曼
Solikhin	索里欣
Soliso	索里索
Soggins	索金斯
Sokington.	索金顿
Soa Ren	索阿任
Soar	索阿尔
Soacha	索阿查
Soaso	索阿索
Soronz	索隆兹
Đội Sauron	索隆队
Soretta.	索雷塔
Solev	索雷夫
Sorena.	索雷娜
Sorrell.	索雷尔
Sores.	索雷斯
Soret.	索雷特
Soresi	索雷西
Quận Soho	索霍区
Sofia	索非亚
Sowell	索韦尔
Soweto	索韦托
Huyện Soma	索马区
Somar	索马尔
Somati	索马蒂
Somalia	索马里
Somare	索马雷
Somaru	索马鲁
Solum	索鲁姆
Solup	索鲁普
Sorudi	索鲁迪
Soluri.	索鲁里
Sommerson.	索默森
Sommerlo	索默洛
Compact	紧凑型
Chốt	紧固件
Dây buộc	紧固带
Đội đầu bảng chặt chẽ	紧头队
Sự chặt chẽ	紧实度
Sự chặt chẽ	紧密度
Sự gần gũi	紧密性
Đội hình bám sát	紧尾队
Thắt chặt	紧巴巴
Sự căng thẳng	紧张度
Căng thẳng	紧张性
Căng thẳng	紧张感
Rối loạn căng thẳng	紧张症
Lệnh khẩn cấp	紧急令
Ngay sau khi	紧接在
Ngay sau đó,	紧接着
Nắm chặt	紧握着
Đội hình kết thúc chặt chẽ	紧端队
Lời nguyền thắt chặt	紧箍咒
Loại vòng chặt chẽ	紧箍式
Siết chặt	紧绷着
Sự thắt chặt	紧缩性
Chất làm săn chắc	紧致剂
Siết chặt	紧致化
Sự chặt chẽ	紧致性
Gắn bó với	紧贴在
Bám sát	紧贴着
Theo sát	紧跟着
Quần bó sát	紧身衣
Quần skinny	紧身裤
Tính cấp thiết	紧迫性
Cảm giác khẩn trương	紧迫感
Đuổi theo sát sao Quân	紧追权
Bám sát	紧逼着
Ngay bên cạnh	紧邻着
Gần gũi với	紧靠在
Bám sát	紧靠着
Hoa tử đinh hương	紫丁香
Màu tím ba màu	紫三色
Tử Vân Anh	紫云英
Tia cực tím	紫外光
Tia cực tím	紫外线
Túi đựng nước tiểu tím	紫尿袋
Shikibu	紫式部
Giải Trái tim tím	紫心奖
Thương hiệu trái tim tím	紫心牌
Bệnh đốm tím	紫斑病
Paclitaxel	紫杉醇
Gỗ đàn hương đỏ	紫檀木
Thạch anh tím	紫水晶
Màu xám tím	紫灰色
Ngô tím	紫玉米
Hoa huệ tím	紫百合
Tử Cấm Thành	紫禁城
Amorpha	紫穗槐
Màu đỏ tím	紫红色
Màu tím tái	紫绀型
Hoa violet	紫罗兰
Hoa tím biếc	紫色花
Lá tía tô	紫苏叶
Hoa nhài tím	紫茉莉
Bauhinia	紫荆花
Hoa tử đằng	紫藤花
Màu nâu tím	紫褐色
Núi Tím	紫金山
Bò tía vàng	紫金牛
Echinacea	紫锥花
Echinacea	紫锥菊
Tía Aki.	紫阿基
Trong cơn mưa tím	紫雨中
Nhà mưa tím	紫雨屋
Sao mưa tím	紫雨星
Tím đen	紫黑色
Mệt mỏi không mệt mỏi	累不累
Bộ tích lũy	累加器
Phương pháp cộng dồn	累加法
Rectorit	累托石
Reissa.	累斯撒
Tích lũy đến	累积到
Mệt mỏi	累累的
Levante	累范特
Recife	累西腓
Số tích lũy	累计数
Phương pháp tích lũy	累计法
Số tiền tích lũy	累计额
Thuế lũy tiến	累进税
Chất keo tụ	絮凝剂
Các bông hoa	絮状物
Chữ phồn thể	繁体字
Khu vực nhộn nhịp	繁华区
Sự phức tạp	繁杂性
Khả năng sinh sản	繁殖力
Nơi chăn nuôi	繁殖地
Trang trại chăn nuôi	繁殖场
Thời kỳ sinh sản	繁殖期
Tỷ lệ sinh sản	繁殖率
Trang trại chăn nuôi	繁育场
Đảng Thịnh vượng	繁荣党
Thời kỳ bùng nổ	繁荣期
Người nhặt rác	纠察员
Những người nhặt nhạnh	纠察队
Luật sửa	纠正法
Vụ việc tranh chấp	纠纷案
Mã sửa lỗi	纠错码
Hệ thống thẩm vấn	纠问制
Phong cách thẩm vấn	纠问式
Ba lá đỏ	红三叶
Ba màu đỏ	红三色
Đỏ và đen	红与黑
Nấm sữa đỏ	红乳菇
Mắt đỏ hoe	红了眼
Mặt đỏ bừng.	红了脸
Điol đỏ	红二醇
Những người áo đỏ nổi tiếng với	红人以
Những người nổi tiếng sẽ	红人会
Những người nổi tiếng đến	红人到
Sau khi người nổi tiếng	红人后
Người đàn ông đỏ Ai Cập	红人埃
Khi người nổi tiếng	红人时
Sách đỏ	红人本
Trường hợp của người nổi tiếng	红人案
Lá chắn người đỏ	红人盾
Người đàn ông đỏ Ken	红人肯
