Một chút thôi.	一下
Tội nhẹ	轻罪
Khinh thường	轻蔑
Đường sắt nhẹ	轻轨
Các nhà cung cấp dịch vụ	载体
Được liệt kê trong	载列
Chở khách	载客
Trong đó nêu rõ	载明
Mang theo	载有
Những tấm	载板
Các nhà mạng	载波
Tải trọng	载荷
Chở hàng hóa	载货
Những chiếc xe chở	载车
Việc vận chuyển	载运
Tải trọng	载重
Khả năng chịu tải	载量
Xe sedan	轿车
Dày hơn.	较厚
Với quy mô lớn hơn	较大
Nghèo nàn	较差
Yếu thế hơn	较弱
Chậm hơn	较慢
Sau đó	较晚
Cuộc thi	较量
Dài hơn.	较长
Được bổ sung bởi	辅以
Phụ kiện	辅件
Hỗ trợ	辅助
Tư vấn	辅导
Một chiếc xe	辆车
Ánh sáng rực rỡ	辉光
Rực rỡ	辉煌
Pfizer	辉瑞
Bỏ học giữa chừng	辍学
Bức xạ	辐射
Những nan hoa	辐条
Chiếu xạ	辐照
Nhập liệu	输入
Sản lượng	输出
Người thua cuộc	输家
Thua cuộc	输掉
Dịch truyền	输液
Thua cuộc	输球
Truyền tải điện	输电
Truyền máu	输血
Thắng thua	输赢
Giao thông vận tải	输送
Khu vực pháp lý	辖区
Sinz	辛兹
Công việc vất vả	辛劳
Sinh Hà	辛哈
Xin chào.	辛奇
Simba	辛巴
Since.	辛斯
Singh	辛格
Sinco	辛科
Vất vả	辛苦
Cindy.	辛迪
Octyl este	辛酯
Cay đắng	辛酸
Octanol	辛醇
Octanal	辛醛
Sinton.	辛顿
đã qua đời.	辞世
Lời hùng biện	辞令
Đơn từ chức	辞呈
Từ chức	辞职
Sa thải	辞退
Bác bỏ tin đồn thất thiệt	辟谣
Xua đuổi tà ma	辟邪
Hot girl	辣妹
Củ cải ngựa	辣根
Ớt	辣椒
Nước sốt nóng	辣酱
Phân biệt đối xử	辨别
Phân biệt đối xử	辨析
Nhận diện	辨认
Nhận diện	辨识
Phòng vệ	辩护
Hàng thủ	辩方
Lập luận rằng	辩称
Biện minh cho	辩解
Cuộc tranh luận	辩论
Tranh luận	辩驳
Bím tóc	辫子
Những lời lăng mạ	辱骂
Bên cạnh	边上
Bên lề cuộc họp	边会
Độ dốc	边坡
Biên giới	边境
Biên giới	边框
Các cạnh	边沿
Biên giới	边界
Biên cương	边疆
Bên lề	边线
Cạnh	边缘
Cắt cạnh	边裁
Lề	边距
Bên lề	边路
Những chiếc xe phụ	边车
Cầu thủ chạy cánh	边锋
Biên độ	边际
Daya.	达亚
Dash.	达什
Darren.	达伦
Đác Lắc	达克
Đại Lý	达利
Để đạt được	达到
Dhaka	达卡
Duff.	达夫
Đàm Vĩnh Hưng	达姆
Dahl	达尔
Dani.	达尼
Ðạt Sơn	达山
Dade.	达德
Đạt được	达成
Dara	达拉
Darth.	达斯
Để đạt được tiêu chuẩn	达标
Duggan.	达根
Dag.	达格
Dallo.	达洛
Đạt	达特
Dawa	达瓦
Đa Phước	达福
Dana.	达纳
Tamiflu	达菲
Damon	达蒙
Darcy.	达西
Dano.	达诺
Dakin	达金
Những pha chạm bóng	达阵
Dutton	达顿
Chuyển vào	迁入
Chuyển ra ngoài	迁出
Di dời địa điểm	迁址
Di cư	迁徙
Chuyển đi nơi khác	迁离
Di cư	迁移
Đường vòng	迂回
Cho đến nay,	迄今
Nhanh chóng	迅速
đã qua đời.	过世
Quá lâu rồi.	过久
Quá thấp.	过低
Thông quan	过关
Qua mùa đông	过冬
Quá đáng.	过分
Thặng dư	过剩
Hơn một nửa	过半
Trong quá khứ	过去
Sau khi	过后
Quá cảnh	过境
Quá nhiều	过多
Qua đêm	过夜
Quá khổ	过大
Sơ suất	过失
Quá sức chịu đựng	过头
đã được học hành đến nơi đến chốn.	过学
Vượt qua nhà	过家
Quá ít	过少
Tết Nguyên đán	过年
Đi qua giường	过床
Quá mức	过度
Quá nhanh.	过快
Vượt qua	过手
Dị ứng	过敏
Lạc hậu	过时
Hết hạn sử dụng	过期
Đến đây nào.	过来
Qua cầu	过桥
Qua sông	过河
Cuộc sống	过活
Sự chuyển đổi	过渡
Lọc	过滤
Quá sức chịu đựng	过火
Quá nóng	过热
Quá quyết liệt	过猛
Chuyền bóng	过球
Thú vị	过瘾
Quá trình	过程
Sàng lọc	过筛
Ngày hội	过节
Quá tải	过载
Quá sức chịu đựng	过重
Quá liều	过量
Lỗi	过错
Quá dài.	过长
Quá cao	过高
Mike.	迈克
Meyer.	迈尔
Meyer.	迈耶
Những bước tiến	迈进
Chào đón khách	迎客
Đối mặt với	迎战
Chào mừng.	迎接
Đón gió	迎风
Hoạt động	运作
Vận chuyển ra khỏi	运出
Vận chuyển đến	运到
Năng lực vận chuyển	运力
Phong trào	运动
Vận chuyển về	运回
Vận chuyển đến nơi đến chốn	运抵
được vận chuyển đến	运来
May mắn	运气
Kênh đào	运河
Sử dụng	运用
Tính toán	运算
Hoạt động	运营
Chạy	运行
Chi phí vận chuyển	运费
Vận chuyển đi nơi khác	运走
Các phương tiện vận chuyển	运车
Hoạt động	运转
Mang theo	运载
Giao thông vận tải	运输
Vận chuyển	运送
Express	运通
Khối lượng vận chuyển	运量
Cận Đông	近东
Những người thân ruột thịt	近亲
Tính gần đúng	近似
Ánh sáng gần	近光
Trong thời gian gần đây,	近况
Cận cảnh	近景
Trong thời gian gần đây,	近期
Ngoài khơi	近海
Những bức ảnh gần đây	近照
Cận thị	近视
Trở về quê hương	返乡
Sự trở lại của	返回
Trở về nước	返国
Trở về quê hương	返家
Trở lại trường học	返校
Trở lại Hồng Kông	返港
Trả lại tiền mặt	返现
Trở về	返航
Trở về	返还
Phản đối	还价
Trả nợ	还债
Đánh trả	还击
Khôi phục	还原
Vẫn còn tệ.	还坏
Không sao đâu.	还好
Vẫn còn ít.	还少
Cũng nên	还应
Đánh trả	还手
Vẫn là	还是
Ngoài ra còn có	还有
Trả nợ	还款
Trả nợ	还清
Không sao đâu.	还行
Còn đắt đỏ.	还贵
Còn dài.	还长
Còn phải	还须
Điều này	这一
Điều này	这个
Những	这些
Ngôi nhà này	这家
Cái này.	这座
Cái này.	这张
Đây là một trong những	这是
Như vậy,	这样
điểm này.	这点
Điều này	这种
Bên này	这边
Ở đây	这里
Vào trong một	进一
Học tập nâng cao	进修
Vào cuộc	进入
Cuộc hành quân vào	进军
Trong và ngoài	进出
Tiến hóa	进化
Vào trong đi.	进去
Tiến lên phía trước	进发
Nhập khẩu	进口
Tiếp cận thị trường	进场
Vào thành phố	进城
Vào trong nhà	进屋
Sự tiến bộ	进展
Tiến độ	进度
Tấn công	进攻
Thức ăn chăn nuôi	进料
Vào đi.	进来
Sự tiến bộ	进步
Lượng khí nạp vào	进气
Vào lỗ hổng	进洞
Vào cảng	进港
Bàn thắng	进球
Quá trình	进程
Điểm dừng chân	进站
Tiến hành	进行
Việc mua hàng	进货
Cách tiếp cận	进路
Vào cửa đi.	进门
Nâng cao trình độ	进阶
Ăn uống	进食
Bữa ăn	进餐
đóng quân tại	进驻
Viễn Đông	远东
Họ hàng xa	远亲
Đi thật xa	远去
Xa xa	远处
Cao cả.	远大
Sút xa.	远射
Chuyến thám hiểm	远征
Xa xôi, xa xôi	远方
Tầm nhìn xa	远景
Về lâu dài	远期
Tránh xa ra.	远点
Tránh xa	远离
Chuyến đi xa	远航
Những chuyến đi xa	远行
Tầm nhìn xa trông rộng	远见
Đi bộ đường dài	远足
Gần xa	远近
Vi phạm pháp luật	违例
Vi phạm	违反
Vi hiến	违宪
Bất chấp	违抗
Vi phạm pháp luật	违法
Vỡ nợ	违约
Vi phạm	违背
Các hành vi vi phạm	违规
Tái đắc cử	连任
Cùng với việc	连同
Kết nối	连接
Liên kết thanh	连杆
Kết nối	连线
Liên kết	连结
Liên tục	连续
Những chiến thắng liên tiếp	连胜
Những thất bại liên tiếp	连败
Sự mạch lạc	连贯
Liên tiếp rớt giá	连跌
Nối tiếp	连载
Liên tiếp	连连
Kết nối	连通
Đúc liên tục	连铸
Dây chuyền	连锁
Công ty	连队
Muộn hơn so với	迟于
Chậm nộp hồ sơ	迟交
Đến muộn	迟到
Sự chậm trễ	迟延
Chậm chạp	迟缓
Chậm chạp	迟钝
Rất khác biệt	迥异
Địa	迪亚
Địch Nhân Kiệt	迪伊
Dylan.	迪伦
Dick	迪克
Địch Nhân Kiệt	迪切
Diga.	迪加
Dice	迪塞
Dior	迪奥
Dean.	迪安
Dier	迪尔
Deaver.	迪弗
Điện Biên	迪恩
Dubai	迪拜
Dice.	迪斯
Diễn viên	迪昂
Deason.	迪森
Di Bo	迪波
Dimi.	迪米
Dion	迪翁
Deacon	迪肯
Dietz	迪茨
Di cho biết	迪说
Deaton.	迪顿
Khẩn trương	迫切
Cuộc khủng bố	迫害
Tiếp cận	迫近
Hạ cánh khẩn cấp	迫降
Lặp lại	迭代
Diego	迭戈
Đề cập đến	述及
Báo cáo công việc	述职
Đánh giá	述评
Duyên dáng	迷人
Bị cuốn hút bởi	迷住
Mini	迷你
Mê tín dị đoan	迷信
Bị cuốn hút	迷倒
Meme	迷因
Mất mát	迷失
Mê cung	迷宫
Ảo giác	迷幻
Những huyền thoại	迷思
Nỗi ám ảnh	迷恋
Lúng túng	迷惑
Lúng túng	迷糊
Trek	迷航
Lúng túng	迷茫
Mờ mờ	迷蒙
Lạc lối	迷路
Sương mù	迷雾
Dấu vết	迹线
Những dấu hiệu	迹象
Việc thu hồi	追偿
Truy đuổi	追击
Bổ sung	追加
Việc thu hồi	追回
Theo đuổi	追寻
Cú va chạm từ phía sau	追尾
Hồi ức	追忆
Tưởng nhớ	追思
Cuộc săn lùng	追捕
Theo đuổi	追捧
Truy tặng	追授
Đuổi theo giết người	追杀
Truy tìm	追查
Đuổi theo số tiền	追款
Theo đuổi	追求
Truy xuất nguồn gốc	追溯
Điều tra, truy cứu trách nhiệm	追究
Truy tìm	追索
Việc thu hồi	追讨
Truy tố	追诉
Truy vấn	追询
Truy cứu trách nhiệm	追责
Bắt kịp	追赶
Theo dõi	追踪
Đuổi theo xe ô tô	追车
Cuộc rượt đuổi	追逐
Hỏi ra mới biết	追问
Theo dõi	追随
Xuất ngũ	退伍
Nghỉ hưu	退休
Thoái vị	退位
Thoái đảng	退党
Rút lui	退出
Sự xuống cấp	退化
Rút lui	退却
Lùi lại!	退去
Lùi lại!	退后
Trở lại	退回
Ra khỏi thị trường	退场
Bỏ học	退学
Hủy niêm yết	退市
Nghỉ hưu	退役
Kiểm tra phòng	退房
Brexit	退欧
Việc hoàn trả	退款
Bước lùi	退步
Thủy triều xuống	退潮
Hoàn trả vé	退票
Hoàn thuế	退税
Rút khỏi hợp đồng	退约
Rút lui	退缩
Lùi lại	退让
Sự trở lại của	退货
Rút lui	退赛
Đường lùi	退路
Việc hoàn trả	退还
Việc hoàn trả tiền	退钱
Việc gửi	送交
Cho đi những người	送人
Gửi thư	送信
Chia tay	送别
được gửi đến các	送到
đưa đi chữa bệnh	送医
Gửi lại	送回
Gửi báo cáo	送报
Gửi đến cái chết	送死
Việc đưa nước	送水
Tặng quà	送礼
Tặng hoa	送花
đưa tang	送葬
Tiễn đưa	送行
Giao hàng	送货
Gửi đi	送走
Gửi xe	送车
Dịch vụ	送达
Cử đội ngũ	送队
đưa đến bệnh viện	送院
Giao thức ăn	送餐
Vừa phải	适中
Phù hợp với	适合
Phù hợp với	适宜
Thích ứng	适应
Vừa phải	适度
Phù hợp	适当
Áp dụng	适用
Khả năng bay	适航
Đủ đầy đủ	适足
Chạy trốn	逃亡
Người đào ngũ	逃兵
Trốn thoát	逃出
Chạy thoát thân	逃命
Kẻ đào tẩu	逃犯
Thoát hiểm	逃生
Bỏ trốn	逃离
Trốn thuế	逃税
Chạy trốn	逃窜
Những kẻ chạy trốn	逃者
Trốn thoát	逃脱
Chạy trốn đi.	逃走
Chạy trốn	逃跑
Trốn thoát	逃逸
Trốn tránh	逃避
Nghịch cảnh	逆境
Ngược dòng	逆流
Ngược dòng	逆行
Đảo ngược	逆转
Gió ngược	逆风
Chọn	选中
Cuộc bầu cử	选举
Giới thiệu chọn lọc	选介
Tùy chọn	选件
Chọn một ví dụ	选例
Lựa chọn	选出
Khu vực bầu cử	选区
Lựa chọn địa điểm	选址
Chọn	选定
Lựa chọn tình cảm	选情
Chiến dịch tranh cử	选战
Các thí sinh	选手
Lựa chọn	选拔
Lựa chọn	选择
Cử tri	选民
Việc lựa chọn các điểm	选点
Lựa chọn	选用
Lựa chọn các mục	选目
Những lá phiếu	选票
Dự thảo	选秀
Biên tập chọn lọc	选编
Cuộc thi sắc đẹp	选美
Việc lựa chọn cổ phần	选股
Chọn tạo giống	选育
Chiến thắng trong cuộc bầu chọn	选胜
Tuyển chọn	选角
Lựa chọn tải trọng	选载
Tuyển chọn	选辑
Tuyển tập	选集
Các phương án	选项
Người Xun-nít	逊人
Sự thua kém	逊色
Thấu chi	透支
Minh bạch	透明
Chạy thận nhân tạo	透析
Turner.	透纳
Phối cảnh	透视
Ống kính	透镜
Tiết lộ	透露
Bị trục xuất	逐出
Nộp hồ sơ	递交
Giảm dần	递减
Tăng dần	递增
Sự chậm trễ	递延
Tiến bộ	递进
Giao hàng	递送
Trên đường đi	途中
Các con đường	途径
Thông qua	途经
Touareg	途锐
Thú vị	逗乐
Dấu phẩy	逗号
Ở lại	逗留
Thông tin liên lạc	通信
Giải phóng mặt bằng	通关
Nguyên tắc chung	通则
Việc đi lại	通勤
Ăn hết tất cả	通吃
Thông tư	通告
Ngoại tình	通奸
Thông qua lỗ hổng	通孔
Suốt đêm	通宵
Thông thường,	通常
Thông báo	通报
Thông gió	通气
Cảng Thống Nhất	通港
Phổ thông	通用
Tiếp cận điện năng	通电
Không bị cản trở	通畅
Thông báo	通知
Thẻ thông qua	通票
Trong suốt quá trình	通篇
Màu đỏ rực	通红
Truy nã	通缉
Giảm phát	通缩
Đề thi tổng hợp	通考
Lạm phát	通胀
Hàng hải thông thoáng	通航
Chỗ ở cho	通融
Giao thông	通行
Thông tin liên lạc	通讯
Cuộc gọi	通话
Đọc qua	通读
Tiền tệ	通货
Tiếp cận	通路
Thông xe	通车
Thông qua	通过
Các kênh	通道
Thông lượng	通量
Thông thoáng	通风
Đi mua sắm	逛街
Dạo quanh	逛逛
Cái chết của	逝世
đã qua đời.	逝去
Người chết	逝者
Tốc độ	速度
Sự nhanh chóng	速成
Báo cáo nhanh	速报
Tỷ lệ	速率
Tốc ký	速记
Chi phí xây dựng	造价
Gian lận	造假
Tạo đà phát triển	造势
Cuộc nổi loạn	造反
Tạo hình	造型
Xây dựng đảo	造岛
Nguyên nhân	造成
Xây dựng cảnh quan	造景
Trồng rừng	造林
Tạo hóa	造物
Vì lợi ích của	造福
Tạo hạt	造粒
Giấy dó	造纸
Đóng tàu	造船
Tham quan	造访
Tin đồn thất thiệt	造谣
Bắt quả tang	逮住
Việc bắt giữ	逮捕
Logic	逻辑
Cưỡng bức thú tội	逼供
Cưỡng bức hôn nhân	逼婚
Để ép bằng được	逼平
Thực tế như thế nào.	逼真
Xấp xỉ	逼近
Quá hạn	逾期
Vượt qua	逾越
Gặp phải	遇到
Vụ ám sát	遇刺
Bị giết	遇害
Bị tấn công	遇袭
Gặp gỡ	遇见
Gặp trở ngại	遇阻
Các nạn nhân thiệt mạng	遇难
Khắp nơi	遍地
Kiềm chế	遏制
Sự tôn kính	遐想
đạo cụ	道具
Chào tạm biệt	道别
Đào Lê	道勒
Các đường ngang dân sinh	道口
Dodge	道奇
Doyle.	道尔
Công tác cử tri	道岔
Đạo đức	道德
Bên cạnh đường	道旁
Đào Mạnh	道曼
Đào Ngọc Dung	道根
Dawson.	道森
Lời xin lỗi	道歉
Sự thật	道理
Món ăn của người Dao	道菜
Cảm ơn	道谢
Những con đường	道路
Những mũi nhọn	道钉
Thư tuyệt mệnh	遗书
Di sản	遗产
Di truyền	遗传
Hài cốt	遗体
Chân dung	遗像
Di chúc	遗嘱
Các địa điểm	遗址
Mất mát	遗失
Góa phụ	遗孀
Những gì còn sót lại	遗存
Những người còn sống sót	遗属
Bị bỏ rơi	遗弃
Di chúc	遗志
Sự lãng quên	遗忘
Điều ước cuối cùng	遗愿
Tiếc nuối	遗憾
Thiếu sót	遗漏
Khu di tích	遗物
Di sản	遗留
Những lời cuối cùng	遗言
Di chúc	遗赠
Những dấu tích	遗迹
Di sản	遗风
Hài cốt	遗骸
Dắt chó đi dạo	遛狗
Xuất ngũ	遣散
Hồi hương	遣返
Việc trục xuất	遣送
Viễn thám	遥感
Đo từ xa	遥测
Xa xôi	遥远
Bị	遭受
Được chấp thuận	遭批
Bị từ chối	遭拒
Khổ nỗi	遭殃
Bị cấm đoán	遭禁
Bị tấn công	遭袭
Gặp phải	遭遇
Bị mắng mỏ	遭骂
Che đậy	遮住
Che nắng	遮光
Sự tắc nghẽn	遮挡
Che đậy	遮掩
Che đậy	遮盖
Che chắn	遮蔽
Che nắng	遮阳
Lựa chọn	遴选
Tuân thủ	遵从
Tuân thủ	遵守
Theo dõi	遵循
Tuân thủ	遵约
Đi theo	遵行
Tuân thủ các quy định	遵规
Để tránh	避免
Các biện pháp tránh thai	避孕
Tránh xa	避开
Tránh nắng nóng	避暑
Tránh thuế	避税
Tránh né	避讳
Tránh rủi ro	避险
Lánh nạn	避难
Nơi trú mưa	避雨
Tránh gió	避风
Lời kêu gọi tín nhiệm	邀功
Lời mời	邀约
Lời mời	邀请
Cuộc gặp gỡ	邂逅
Luộm thuộm	邋遢
Dunning	邓宁
Dunbar.	邓巴
Dunn	邓恩
Duncan	邓肯
Dundee	邓迪
Đó là điều mà	那个
Sau đó,	那么
Những người	那些
Ở đó,	那儿
Mảnh đất đó.	那块
Ngày ấy,	那天
Đó là thành phố	那市
Đêm đó,	那晚
Như thế	那样
Đó là loại	那种
Đằng kia kìa.	那边
Axit đó	那酸
Ở đó,	那里
Bunker	邦克
Bunch	邦奇
Bond.	邦德
Bongo.	邦戈
Bunce	邦斯
Bundchen	邦辰
Bundy.	邦迪
Cái ác	邪恶
Giáo phái	邪教
Thư từ	邮件
Gửi thư qua đường bưu điện	邮寄
Bưu điện	邮局
Người đưa thư	邮差
Bưu điện giảm giá	邮折
Bưu điện	邮报
Bưu điện	邮政
Tem bưu chính	邮票
Hộp thư	邮筒
Hộp thư	邮箱
Mã zip	邮编
Túi đựng thư	邮袋
Cước phí bưu chính	邮费
Bưu chính	邮资
Tàu du lịch	邮轮
Bưu điện	邮递
Vườn Kew	邱园
Các nước láng giềng	邻国
Hàng xóm láng giềng	邻居
Khu phố	邻里
Chán nản	郁闷
Khu vực ngoại thành	郊区
Ngoại thành	郊外
Chuyến đi chơi	郊游
Sói đồng cỏ	郊狼
Các bộ phận	部件
Các vị trí	部位
Một phần của	部分
Bộ, Văn phòng	部厅
Các bộ, ngành	部委
Các bộ lạc	部族
Triển khai	部署
Các bộ lạc	部落
Bộ trưởng	部长
Các sở, ban, ngành	部门
Các lực lượng	部队
Guo Chuan	郭川
Thành phố	都市
Turin	都灵
Không sao đâu.	都行
Coi thường	鄙视
Người đứng đầu	酋长
Theo quyết định của	酌定
Khi thích hợp	酌情
Nhạc phim	配乐
Phụ kiện	配件
Vợ hoặc chồng	配偶
Đăng ký	配准
Công thức	配制
Phối hợp với	配合
Việc phân bổ	配售
Với hình ảnh	配图
được trang bị	配备
Hỗ trợ	配套
Giao tử	配子
Ghép cặp	配对
Với các văn bản	配文
Thành phần	配料
Công thức	配方
Các tòa nhà phụ	配楼
Phân phối điện	配电
Công tác phối giống	配种
Khẩu phần ăn	配给
Cấu hình	配置
Cấp phát thuốc	配药
Các món ăn kèm	配菜
Vai phụ	配角
Việc xếp hàng	配载
Phân phối	配送
Với rượu vang	配酒
Đối trọng	配重
Số tiền được giao	配量
Lồng tiếng	配音
Hạn ngạch	配额
Phụ kiện	配饰
Đất nước rượu cần	酒乡
Tiệc chiêu đãi	酒会
Người pha chế rượu	酒保
Danh sách rượu vang	酒单
Nhà máy sản xuất rượu	酒厂
Thanh	酒吧
Mùi rượu	酒味
Người buôn rượu	酒商
Bình đựng rượu	酒器
Bình rượu	酒壶
Người uống rượu	酒客
Nhà hàng	酒家
Nhà máy rượu vang	酒庄
Khách sạn	酒店
Phòng chờ	酒廊
Những ly rượu	酒杯
Giá để rượu	酒架
Tủ rượu	酒柜
Nhà hàng	酒楼
Đồ uống	酒水
Luật rượu	酒法
Chai rượu	酒瓶
Hầm rượu	酒窖
Lúm đồng tiền	酒窝
Các loại rượu, bia	酒类
Rượu bia	酒精
Hạt chưng cất	酒糟
Hoa rượu	酒花
Quán rượu	酒馆
Người nghiện rượu	酒鬼
Lạm dụng rượu bia	酗酒
Muối phenolic	酚盐
Phenol	酚类
Phenolphthalein	酚酞
Natri phenolic	酚钠
Sản xuất bia	酝酿
Ghee	酥油
Bánh ngọt	酥皮
Giòn tan.	酥脆
Bánh mì ngắn	酥饼
Sữa bơ	酪乳
Chế độ đãi ngộ	酬劳
Thù lao	酬金
Xeton	酮类
Quá trình este hóa	酯化
Ester	酯类
Acyl florua	酰氟
Acyl clorua	酰氯
Hydrazide	酰肼
Amit	酰胺
Nước sốt	酱料
Nước sốt	酱汁
Nước tương	酱油
Men	酵母
Các enzym	酶类
Những điều tuyệt vời	酷事
Tra tấn	酷刑
Mát mẻ và mạnh mẽ.	酷劲
Nắng nóng gay gắt	酷暑
Nắng nóng gay gắt	酷热
Chơi ngầu	酷玩
Quá trình axit hóa	酸化
Vị chua chát	酸味
Sữa chua	酸奶
Tính axit	酸度
Tính axit	酸性
Dầu chua	酸油
Tẩy muối	酸洗
Chua chát	酸涩
Chất lỏng axit	酸液
Đau nhức	酸痛
Muối chua	酸盐
Axit	酸类
Dưa cải	酸菜
Anhydrit axit	酸酐
Este axit	酸酯
Natri axit	酸钠
Kali axit	酸钾
Amoni axit	酸铵
Sản xuất bia	酿造
Sản xuất rượu vang	酿酒
êm dịu	醇厚
Các loại rượu	醇类
Este rượu	醇酯
Người say rượu	醉汉
Say rượu	醉酒
Vị dấm	醋味
Quả lý gai	醋栗
Nước dấm	醋汁
Tỉnh dậy đi.	醒来
Bắt mắt	醒目
Anđehit	醛类
Axit uronic	醛酸
Khai thác gỗ	采伐
Mua sắm	采办
Lấy	采取
Khả năng khai thác	采性
Khai thác	采掘
Hái	采摘
Thu hoạch	采收
Sưởi ấm	采暖
Lấy mẫu xét nghiệm	采样
Sản xuất khí đốt	采气
Khai thác than	采煤
Việc áp dụng	采用
Khai thác đá	采石
Khai thác khoáng sản	采矿
Thông qua	采纳
Ruồi hái lượm	采蝇
Lấy máu	采血
Phỏng vấn	采访
Mua sắm	采购
Thu thập	采集
Miếng tráng men	釉面
Diễn giải	释义
Phát hành	释放
Ria	里亚
Rick.	里克
Riga	里加
Rika.	里卡
Ricky.	里基
Lâu đài Rieburg.	里堡
Reeve.	里夫
Giàu có	里奇
Leo.	里奥
Rian.	里安
Lille	里尔
Rini.	里尼
Reed	里德
Đồng lira	里拉
Số dặm	里数
Reese	里斯
Lyon	里昂
Reagan.	里根
Rig.	里格
Lý Sơn	里森
Biển Caspi	里海
Vịnh Lý	里湾
Rico.	里科
Số dặm bay	里程
Rina.	里纳
Lễ hội Lý	里节
Ritz	里茨
Reno.	里诺
Riddy.	里迪
Bên trong	里面
Rimmer.	里默
Nhiệm vụ nặng nề	重任
Bị thương nặng	重伤
Đánh giá lại	重估
Xây dựng lại	重修
Viết lại	重写
Đánh mạnh	重击
Án phạt nặng	重刑
Những đòn nặng nề	重创
Trọng lực	重力
Áp lực nặng nề	重压
Sự chồng chéo	重叠
Sự trùng lặp	重合
Khởi động lại	重启
Hát lại bài hát	重唱
Nặng nề	重型
Định hình lại	重塑
Lặp lại	重复
Chính	重大
Bigamy	重婚
Xét xử lại	重审
Công nghiệp nặng	重工
Trùng Khánh	重庆
Nặng nề, nghiêm trọng.	重度
Xây dựng lại	重建
Mở lại	重开
Trọng tâm	重心
Báo cáo lại	重报
Gánh nặng	重担
Làm lại	重拍
Những cú đấm nặng nề	重拳
Sự thất bại nặng nề	重挫
Phát lại	重播
Tổ chức lại	重整
Việc tái	重新
Tái hiện	重映
Tái cấu trúc	重构
Nước nặng	重水
Dầu nặng	重油
Hồi tưởng lại	重温
Lập lại	重演
Pháo hạng nặng	重炮
Những điểm nổi bật	重点
Nhen nhóm lại	重燃
Những vật nặng	重物
Tái phạm	重犯
Tái hiện	重现
Tái sinh	重生
Tái sử dụng	重用
Tái khẳng định	重申
Bệnh hiểm nghèo	重病
Tính toán lại	重算
Tái cơ cấu	重组
Phạt nặng	重罚
Trọng tội	重罪
Đặt lại	重置
Hội ngộ	重聚
Nạp lại	重装
Điều quan trọng là	重要
Coi trọng	重视
Đếm lại	重计
Đặt lại	重设
Tái khám	重访
Đọc lại	重读
Gánh nặng	重负
Trận tái đấu	重赛
Sự trở lại của	重返
Sự chồng chéo	重迭
Kể lại	重述
Hội ngộ	重逢
Nặng nề.	重重
Trọng lượng	重量
Đúc lại	重铸
Tái trang bị	重铺
Những thị trấn quan trọng	重镇
Sự căng thẳng	重音
Những kẻ man rợ	野人
Thỏ rừng	野兔
Quái thú	野兽
Trò chơi	野味
Hiện trường	野外
Tham vọng	野心
Sự hoang sơ	野性
Quả dại	野果
Bơi lội hoang dã	野泳
Cháy rừng	野火
Bò rừng	野牛
Chó hoang	野狗
Lợn rừng	野猪
Mèo rừng	野猫
Hoang dã	野生
Chim hoang dã	野禽
Hoa dại	野花
Cỏ dại	野草
Cắm trại	野营
Sự man rợ	野蛮
Chuyến dã ngoại	野餐
Ngựa hoang	野马
Lừa hoang dã	野驴
Chim hoang dã	野鸟
Gà rừng	野鸡
Vịt trời	野鸭
Hươu hoang dã	野鹿
Tuyên án	量刑
Định lượng	量化
Các biện pháp	量度
Phạm vi đo lường	量程
Ống đong	量筒
Độ lớn	量级
Thang đo	量表
Đồng hồ đo	量规
Giá vàng	金价
Tượng vàng	金像
Kim Cương	金刚
Tóc vàng	金发
Những chiếc lá vàng	金叶
Cốm vàng	金块
Chùa Vàng	金塔
Chennai	金奈
Huy chương vàng	金奖
Ginny.	金妮
Kim Na.	金娜
Đám cưới vàng	金婚
Vàng	金子
Kinny.	金尼
Kim loại	金属
Kim Châu	金州
Đồng tiền vàng	金币
Kho bạc	金库
Kim Đức	金德
Kings.	金斯
Sao Kim	金星
Kinh Đô	金杜
Vàng miếng	金条
Cúp vàng	金杯
Khẩu súng vàng	金枪
Ginger.	金格
Quất cảnh	金桔
Cát vàng	金沙
Miếng vàng	金片
Huy chương vàng	金牌
Răng vàng	金牙
Ginter.	金特
Con mèo vàng	金猫
Mỏ vàng	金矿
Gạch vàng	金砖
Cậu bé vàng	金童
Lá vàng	金箔
Vàng	金色
Chim chích chòe vàng	金莺
Tài chính	金融
Chiếc đồng hồ vàng	金表
Ông Kim cho biết	金说
Phnôm Pênh	金边
Tiền bạc	金钱
Cổng Vàng	金门
Số tiền	金额
Cá vàng	金鱼
Vàng vàng	金黄
Rùa vàng	金龟
Busan	釜山
Theo quan điểm của	鉴于
Nhận diện	鉴别
Nhận diện	鉴定
Xác thực	鉴证
Châm cứu	针刺
Kim tiêm	针头
Đối với	针对
Quần áo thẻ	针布
Châm cứu và châm cứu	针灸
Dệt kim	针织
Van kim	针阀
Cá kim	针鱼
Những chiếc đinh	钉子
Đóng đinh	钉死
Đánh bắt cá	钓鱼
Travertine	钙华
Canxi	钙质
Sự thụ động	钝化
Công cụ cùn	钝器
Tiền giấy	钞票
Tiếng chuông	钟声
Tháp chuông	钟楼
Đồng hồ và đồng hồ	钟表
Muối natri	钠盐
Dây thép	钢丝
Người đàn ông thép	钢人
Các bộ phận bằng thép	钢件
Bằng thép	钢制
Máy múc	钢包
Nhà máy thép	钢厂
